,Team_Name,Tries_Scored,Conversions,Conversion_Attempts,Conversion_Percentage,Penalty_Goals,Penalty_Attempts,Penalty_Percentage,Kick_at_Goal_Success,Drop_Goals,Drop_Goal_Attempts,Kicks_from_Hand,Passes,Runs,Metres_Run,Possession(%),Clean_Breaks,Defenders_Beaten,Offloads,Rucks_Won,Total_Rucks,%Rucks_Won,Mauls_Won,Total_Mauls,%Mauls_Won,Turnovers_Conceded,Tackles_Made,Tackles_Missed,Tackling_Success_Rate,Own_Scrum_Won,Own_Scrum_Lost,Opp_Scrum_Won,Opp_Scrum_Lost,%Scrums_on_own_feed,Own_Lineout_Won,Own_Lineout_Lost,Opp_Lineout_Won,Opp_Lineout_Lost,%Lineouts_on_own_feed,Penalties_Conceeded,Yellow_Cards,Red_Cards,Referee,Playing_Location,Result,Outcome,Tot_Own_Scrums,Penalties_Won
1636,Bath Rugby,5.0,3.0,3.0,100.0,2.0,2.0,100.0,1.0,0.0,0.0,14.0,167.0,113.0,643.0,0.0,15.0,11.0,10.0,71.0,73.0,0.973,0.0,0.0,0,18.0,118,10,0.922,7.0,0.0,2.0,10.0,0,13.0,0.0,0.0,6.0,1.0,14,0,0,RS Debney,1,37 ,1.0,7.0,10
1637,Worcester Warriors,1.0,1.0,1.0,100.0,4.0,4.0,100.0,1.0,0.0,0.0,16.0,113.0,89.0,349.0,0.0,4.0,10.0,4.0,70.0,74.0,0.946,0.0,0.0,0,16.0,119,11,0.915,10.0,2.0,0.0,7.0,0,6.0,0.0,0.0,13.0,1.0,10,1,0,RS Debney,0, 19,0.0,12.0,14
1638,Saracens,2.0,2.0,2.0,100.0,4.0,6.0,66.66666666666666,0.75,0.0,0.0,25.0,164.0,126.0,594.0,0.0,6.0,9.0,15.0,87.0,90.0,0.9670000000000001,1.0,1.0,1,16.0,55,7,0.887,15.0,2.0,1.0,5.0,1,10.0,0.0,6.0,7.0,1.0,10,0,0,M Fox,1,26 ,1.0,17.0,13
1639,Northampton Saints,0.0,0.0,0.0,0.0,3.0,3.0,100.0,1.0,1.0,0.0,30.0,66.0,51.0,227.0,0.0,3.0,7.0,5.0,39.0,40.0,0.975,1.0,1.0,1,10.0,151,9,0.9440000000000001,5.0,1.0,2.0,15.0,1,7.0,6.0,0.0,10.0,0.5379999999999999,13,2,0,M Fox,0, 12,0.0,6.0,10
1640,Harlequins,3.0,3.0,3.0,100.0,2.0,2.0,100.0,1.0,0.0,0.0,31.0,103.0,74.0,478.0,0.0,10.0,15.0,6.0,63.0,66.0,0.955,0.0,0.0,0,7.0,96,9,0.914,10.0,1.0,0.0,6.0,0,9.0,2.0,4.0,9.0,0.818,11,0,0,DD Richards,1,27 ,0.0,11.0,13
1641,London Irish,3.0,2.0,2.0,100.0,3.0,3.0,100.0,1.0,0.0,0.0,26.0,127.0,80.0,508.0,0.0,4.0,9.0,10.0,61.0,65.0,0.938,0.0,0.0,0,14.0,91,14,0.867,6.0,0.0,1.0,10.0,0,9.0,4.0,2.0,9.0,0.6920000000000001,13,0,0,DD Richards,0, 28,1.0,6.0,11
1642,Wasps,2.0,2.0,2.0,100.0,3.0,3.0,100.0,1.0,0.0,0.0,25.0,86.0,74.0,390.0,0.0,6.0,4.0,5.0,59.0,60.0,0.983,0.0,0.0,0,19.0,145,14,0.912,9.0,0.0,1.0,11.0,0,6.0,1.0,2.0,11.0,0.857,5,0,0,S Davey,1,23 ,0.0,9.0,12
1643,Bath Rugby,4.0,2.0,2.0,100.0,1.0,1.0,100.0,1.0,0.0,0.0,28.0,159.0,118.0,641.0,0.0,10.0,14.0,6.0,89.0,95.0,0.937,0.0,0.0,0,17.0,82,4,0.953,11.0,1.0,0.0,9.0,0,11.0,2.0,1.0,6.0,0.846,12,0,0,S Davey,0, 27,1.0,12.0,5
1644,Bristol Rugby,1.0,1.0,1.0,100.0,3.0,3.0,100.0,1.0,0.0,0.0,12.0,133.0,115.0,480.0,0.0,1.0,13.0,14.0,78.0,80.0,0.975,0.0,0.0,0,17.0,129,13,0.9079999999999999,7.0,3.0,1.0,7.0,0,5.0,3.0,4.0,13.0,0.625,12,0,0,T Wigglesworth,1,16 ,0.0,10.0,16
1645,Saracens,1.0,0.0,0.0,0.0,5.0,5.0,100.0,1.0,1.0,0.0,17.0,110.0,82.0,236.0,0.0,4.0,13.0,5.0,69.0,74.0,0.932,0.0,0.0,0,13.0,164,13,0.927,7.0,1.0,3.0,7.0,0,13.0,4.0,3.0,5.0,0.765,16,1,0,T Wigglesworth,0, 23,1.0,8.0,12
