Unnamed:_0,Team_Name,Tries_Scored,Conversions,Conversion_Attempts,Conversion_Percentage,Penalty_Goals,Penalty_Attempts,Penalty_Percentage,Kick_at_Goal_Success,Drop_Goals,Drop_Goal_Attempts,Kicks_from_Hand,Passes,Runs,Metres_Run,Possession(%),Clean_Breaks,Defenders_Beaten,Offloads,Rucks_Won,Total_Rucks,%Rucks_Won,Mauls_Won,Total_Mauls,%Mauls_Won,Turnovers_Conceded,Tackles_Made,Tackles_Missed,Tackling_Success_Rate,Own_Scrum_Won,Own_Scrum_Lost,Opp_Scrum_Won,Opp_Scrum_Lost,%Scrums_on_own_feed,Own_Lineout_Won,Own_Lineout_Lost,Opp_Lineout_Won,Opp_Lineout_Lost,%Lineouts_on_own_feed,Penalties_Conceeded,Yellow_Cards,Red_Cards,Referee,Playing_Location,Result,Outcome,Tot_Own_Scrums,Penalties_Won
10,10,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,31.0,157.0,97.0,283.0,0.55,1.0,16.0,11.0,78.0,80.0,0.975,3.0,4.0,0,13.0,64,22,0.74,7.0,1.0,2.0,1.0,0.875,13.0,6.0,2.0,10.0,0.684,6,1,0,5,1,0,0.0,8.0,14
11,11,7.0,7.0,7.0,100.0,1.0,1.0,100.0,1.0,0.0,0.0,23.0,134.0,103.0,766.0,0.45,14.0,22.0,18.0,55.0,60.0,0.917,3.0,4.0,0,13.0,109,16,0.87,1.0,2.0,1.0,7.0,0.333,10.0,2.0,6.0,13.0,0.833,14,1,0,5,0,52,1.0,3.0,6
12,9,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,13.0,129.0,109.0,268.0,0.65,3.0,22.0,10.0,75.0,81.0,0.926,9.0,10.0,0,20.0,53,5,0.91,5.0,2.0,2.0,4.0,0.7140000000000001,20.0,2.0,2.0,9.0,0.909,12,1,0,0,1,0,0.0,7.0,14
13,4,3.0,3.0,3.0,100.0,6.0,6.0,100.0,1.0,0.0,0.0,26.0,55.0,56.0,201.0,0.35,7.0,5.0,3.0,38.0,41.0,0.927,3.0,4.0,0,11.0,123,22,0.85,4.0,2.0,2.0,5.0,0.667,9.0,2.0,2.0,20.0,0.818,14,2,0,0,0,39,1.0,6.0,12
14,3,7.0,6.0,7.0,85.71428571428571,2.0,2.0,100.0,0.89,0.0,0.0,18.0,186.0,146.0,652.0,0.64,14.0,24.0,14.0,84.0,90.0,0.933,0.0,0.0,0,15.0,90,18,0.83,2.0,0.0,5.0,5.0,1.0,12.0,1.0,6.0,10.0,0.923,11,0,0,6,1,53,1.0,2.0,11
15,10,4.0,3.0,4.0,75.0,0.0,1.0,0.0,0.6,0.0,0.0,13.0,121.0,96.0,387.0,0.36,11.0,18.0,14.0,53.0,55.0,0.964,0.0,0.0,0,10.0,133,24,0.85,5.0,5.0,0.0,2.0,0.5,10.0,6.0,1.0,12.0,0.625,11,0,0,6,0,26,0.0,10.0,11
16,1,3.0,2.0,3.0,66.66666666666666,5.0,6.0,83.33333333333334,0.78,0.0,0.0,27.0,121.0,94.0,382.0,0.43,3.0,18.0,9.0,64.0,70.0,0.914,0.0,0.0,0,13.0,108,16,0.87,7.0,1.0,2.0,2.0,0.875,9.0,3.0,8.0,9.0,0.75,10,0,0,4,1,34,1.0,8.0,11
17,2,4.0,2.0,4.0,50.0,1.0,1.0,100.0,0.6,0.0,0.0,22.0,108.0,88.0,405.0,0.57,7.0,16.0,7.0,61.0,65.0,0.938,0.0,0.0,0,15.0,117,18,0.87,2.0,2.0,1.0,7.0,0.5,9.0,8.0,3.0,9.0,0.529,11,0,0,4,0,27,0.0,4.0,10
18,11,2.0,2.0,2.0,100.0,2.0,2.0,100.0,1.0,0.0,0.0,26.0,82.0,84.0,300.0,0.49,5.0,25.0,7.0,45.0,50.0,0.9,6.0,8.0,0,13.0,78,11,0.88,6.0,0.0,2.0,8.0,1.0,18.0,5.0,0.0,10.0,0.7829999999999999,9,1,0,1,1,20,0.0,6.0,9
19,6,2.0,1.0,2.0,50.0,4.0,4.0,100.0,0.83,0.0,0.0,35.0,98.0,90.0,270.0,0.51,8.0,11.0,9.0,54.0,56.0,0.964,8.0,8.0,1,10.0,82,25,0.77,8.0,2.0,0.0,6.0,0.8,10.0,0.0,5.0,18.0,1.0,9,1,0,1,0,24,1.0,10.0,9
20,5,2.0,2.0,2.0,100.0,2.0,3.0,66.66666666666666,0.8,0.0,1.0,25.0,98.0,76.0,228.0,0.43,3.0,11.0,5.0,57.0,61.0,0.934,4.0,5.0,0,11.0,111,14,0.89,5.0,1.0,1.0,5.0,0.833,12.0,3.0,1.0,17.0,0.8,17,1,0,3,1,20,1.0,6.0,10
21,0,1.0,1.0,1.0,100.0,3.0,4.0,75.0,0.8,0.0,0.0,27.0,131.0,110.0,338.0,0.57,3.0,14.0,10.0,78.0,82.0,0.951,12.0,1.0,0,11.0,71,11,0.87,5.0,1.0,1.0,5.0,0.833,17.0,1.0,3.0,12.0,0.944,10,1,0,3,0,16,0.0,6.0,17
22,7,3.0,0.0,3.0,0.0,1.0,4.0,25.0,0.14,0.0,0.0,21.0,205.0,132.0,447.0,0.6,8.0,16.0,13.0,96.0,10.0,0.941,0.0,0.0,0,10.0,103,15,0.87,5.0,2.0,2.0,3.0,0.7140000000000001,13.0,1.0,0.0,12.0,0.929,12,0,0,2,1,18,0.0,7.0,14
