Team_Name,Tries_Scored,Conversions,Conversion_Attempts,Conversion_Percentage,Penalty_Goals,Penalty_Attempts,Penalty_Percentage,Kick_at_Goal_Success,Drop_Goals,Drop_Goal_Attempts,Kicks_from_Hand,Passes,Runs,Metres_Run,Possession(%),Clean_Breaks,Defenders_Beaten,Offloads,Rucks_Won,Total_Rucks,%Rucks_Won,Mauls_Won,Total_Mauls,%Mauls_Won,Turnovers_Conceded,Tackles_Made,Tackles_Missed,Tackling_Success_Rate,Own_Scrum_Won,Own_Scrum_Lost,Opp_Scrum_Won,Opp_Scrum_Lost,%Scrums_on_own_feed,Own_Lineout_Won,Own_Lineout_Lost,Opp_Lineout_Won,Opp_Lineout_Lost,%Lineouts_on_own_feed,Penalties_Conceeded,Yellow_Cards,Red_Cards,Referee,Playing_Location,Result,Outcome,Tot_Own_Scrums,Penalties_Won
7,1,1,1,100,7,9,77.77777778,0.8,0,0,17,104,93,277,0.5,8,16,16,66,68,0.971,0,0,0,10,96,24,0.8,5,0,2,3,0,9,1,0,7,0.9,9,1,1,0,0,28,1,5,15
12,9,8,9,88.88888889,2,2,100,0.91,0,0,7,188,143,787,0.9,26,40,29,74,75,0.987,0,0,0,10,54,8,0.87,4,2,1,7,0,14,1,1,5,0.933,7,0,0,0,1,67,1,6,15
4,1,1,1,100,4,4,100,1,0,0,9,61,58,245,0.1,3,8,5,36,38,0.947,0,0,0,10,99,40,0.71,7,1,2,4,0,5,1,1,14,0.833,15,2,0,0,0,19,0,8,7
8,1,1,1,100,5,6,83.33333333,0.86,0,0,17,116,91,313,0.5,3,19,5,78,81,0.963,0,0,0,11,110,14,0.89,8,0,0,6,0,8,1,1,10,0.889,13,1,0,0,1,22,1,8,10
1,1,1,1,100,4,5,80,0.83,0,0,16,106,106,448,0.5,8,14,17,68,70,0.971,0,0,0,16,112,19,0.85,6,0,0,8,0,10,1,1,8,0.909,10,1,0,0,0,19,0,6,13
2,5,5,5,100,1,1,100,1,0,0,14,188,141,577,0.71,11,31,29,91,95,0.958,0,0,0,15,71,19,0.79,7,0,1,7,0,15,3,0,8,0.833,11,1,0,0,1,38,1,7,14
0,2,2,2,100,2,4,50,0.67,0,0,11,92,82,420,0.29,10,19,18,41,45,0.911,0,0,0,17,153,31,0.83,7,1,0,7,0,8,0,3,15,1,14,1,0,0,0,20,0,8,11
6,4,3,4,75,2,2,100,0.83,0,0,15,121,112,502,1,14,18,13,67,70,0.957,0,0,0,13,76,5,0.94,8,1,1,5,0,12,0,4,8,1,13,0,0,0,1,32,1,9,10
4,0,0,0,0,4,4,100,1,0,0,10,91,72,181,0,3,5,9,55,58,0.948,0,0,0,13,105,18,0.85,5,1,1,8,0,8,4,0,12,0.667,10,0,0,0,0,12,0,6,13
9,2,2,2,100,6,8,75,0.8,0,1,25,60,63,233,0.67,3,6,5,42,49,0.857,0,0,0,10,153,22,0.87,9,2,3,1,0,11,0,1,8,1,14,1,0,0,1,32,1,11,14
12,1,0,1,0,2,2,100,0.67,0,0,12,157,135,533,0.33,6,22,23,85,91,0.934,0,0,0,22,65,6,0.92,1,3,2,9,0,8,1,0,11,0.889,14,0,0,0,0,11,0,4,14
5,0,0,0,0,6,8,75,0.75,0,0,23,106,89,337,0,2,12,7,62,64,0.969,0,0,0,15,79,13,0.86,10,0,2,3,0,4,6,3,14,0.4,9,1,0,0,1,18,3,10,13
11,2,1,2,50,2,4,50,0.5,0,0,16,71,86,344,1,6,13,14,50,54,0.926,0,0,0,20,105,12,0.9,3,2,0,10,0,14,3,6,4,0.824,13,1,0,0,0,18,3,5,9
13,3,2,3,66.66666667,3,3,100,0.83,0,0,29,128,121,393,0.75,6,22,13,84,86,0.977,0,0,0,18,88,18,0.83,10,0,1,7,0,15,2,5,14,0.882,13,1,0,0,1,28,1,10,15
3,1,1,1,100,1,1,100,1,0,0,23,89,96,397,0.25,6,18,12,61,65,0.938,0,0,0,20,142,22,0.87,7,1,0,10,0,14,5,2,15,0.737,15,1,0,0,0,10,0,8,13
7,5,2,5,40,2,2,100,0.57,0,0,21,140,106,476,0.71,3,7,10,78,83,0.94,0,0,0,12,153,9,0.94,6,3,2,5,0,7,2,4,9,0.778,11,0,0,0,1,35,1,9,5
10,2,1,2,50,3,3,100,0.8,0,0,17,101,105,266,0.29,3,9,8,89,93,0.957,0,0,0,18,136,7,0.95,5,2,3,6,0,9,4,2,7,0.692,5,0,0,0,0,21,0,7,11
0,7,5,7,71.42857143,0,0,0,0.71,0,0,15,151,133,571,0.78,14,22,13,94,98,0.959,0,0,0,12,104,13,0.89,7,2,2,1,0,10,1,1,8,0.909,10,1,0,0,1,45,1,9,12
5,2,1,2,50,0,1,0,0.33,0,0,12,119,95,344,0.22,7,13,12,70,74,0.946,0,0,0,12,133,22,0.86,1,2,2,7,0,8,1,1,10,0.889,12,2,0,0,0,12,0,3,10
4,4,2,4,50,1,1,100,0.6,0,0,13,68,80,327,1,8,12,11,51,55,0.927,0,0,0,16,65,13,0.83,2,5,3,9,0,11,1,2,19,0.917,13,1,0,0,1,27,1,7,14
