Team_Name,Tries_Scored,Conversions,Conversion_Attempts,Conversion_Percentage,Penalty_Goals,Penalty_Attempts,Penalty_Percentage,Kick_at_Goal_Success,Drop_Goals,Drop_Goal_Attempts,Kicks_from_Hand,Passes,Runs,Metres_Run,Possession(%),Clean_Breaks,Defenders_Beaten,Offloads,Rucks_Won,Total_Rucks,Percent_Rucks_Won,Mauls_Won,Total_Mauls,Percent_Mauls_Won,Turnovers_Conceded,Tackles_Made,Tackles_Missed,Tackling_Success_Rate,Own_Scrum_Won,Own_Scrum_Lost,Opp_Scrum_Won,Opp_Scrum_Lost,Percent_Scrums_on_own_feed,Own_Lineout_Won,Own_Lineout_Lost,Opp_Lineout_Won,Opp_Lineout_Lost,Percent_Lineouts_on_own_feed,Penalties_Conceeded,Yellow_Cards,Red_Cards,Referee,Playing_Location,Result,Outcome,Tot_Own_Scrums,Penalties_Won
1,1,0,1,0,2,3,66.66666667,0.5,0,0,20,105,119,295,0.61,1,11,7,88,94,0.936,2,3,0,15,79,5,0.94,7,2,0,5,0.778,11,1,3,6,0.917,12,1,0,0,0,11,0,9,12
5,3,3,3,100,1,4,25,0.57,0,0,28,107,111,347,0.58,11,13,11,83,85,0.976,7,7,1,12,96,19,0.83,10,0,2,3,1,14,1,2,9,0.933,10,1,0,0,1,24,1,10,10
6,1,1,1,100,3,4,75,0.8,0,0,23,133,88,344,0.42,4,19,5,63,64,0.984,2,2,1,14,109,13,0.89,3,2,0,10,0.6,9,2,1,14,0.818,10,1,0,0,0,16,0,5,10
3,1,0,1,0,3,3,100,0.75,0,0,22,173,154,466,0.5,8,27,7,11,1,0.966,0,0,0,17,104,14,0.88,4,0,3,6,1,17,3,2,7,0.85,7,0,0,0,1,14,0,4,13
1,1,1,1,100,3,3,100,1,0,1,28,114,128,334,0.5,7,14,14,88,90,0.978,0,0,0,7,150,27,0.85,6,3,0,4,0.667,7,2,3,17,0.778,13,2,0,0,0,16,1,9,7
4,3,3,3,100,4,5,80,0.88,0,0,23,186,134,526,0.63,10,27,13,97,99,0.98,5,5,1,14,86,5,0.95,7,0,1,7,1,10,0,2,8,1,6,0,0,0,1,33,1,7,10
11,1,1,1,100,3,3,100,1,0,0,24,99,77,241,0.37,3,5,5,57,58,0.983,1,1,1,10,143,27,0.84,7,1,0,7,0.875,8,2,0,10,0.8,10,0,0,0,0,16,0,8,6
8,4,3,4,75,2,2,100,0.83,0,0,19,160,112,492,0.52,12,27,25,65,70,0.929,3,4,0,14,114,11,0.91,10,0,0,7,1,13,1,1,11,0.929,10,1,0,0,1,32,1,10,10
0,1,0,1,0,3,3,100,0.75,0,0,14,150,96,433,0.48,6,11,10,65,71,0.915,5,6,0,19,119,27,0.82,7,0,0,10,1,11,1,1,13,0.917,10,1,0,0,0,14,0,7,10
9,6,5,6,83.33333333,1,2,50,0.75,0,0,34,166,143,634,1,18,22,8,80,84,0.952,0,0,0,17,69,9,0.88,5,0,5,4,1,13,0,2,16,1,6,0,0,0,1,43,1,5,10
