Unnamed:_0,Team_Name,Tries_Scored,Conversions,Conversion_Attempts,Conversion_Percentage,Penalty_Goals,Penalty_Attempts,Penalty_Percentage,Kick_at_Goal_Success,Drop_Goals,Drop_Goal_Attempts,Kicks_from_Hand,Passes,Runs,Metres_Run,Possession(%),Clean_Breaks,Defenders_Beaten,Offloads,Rucks_Won,Total_Rucks,%Rucks_Won,Mauls_Won,Total_Mauls,%Mauls_Won,Turnovers_Conceded,Tackles_Made,Tackles_Missed,Tackling_Success_Rate,Own_Scrum_Won,Own_Scrum_Lost,Opp_Scrum_Won,Opp_Scrum_Lost,%Scrums_on_own_feed,Own_Lineout_Won,Own_Lineout_Lost,Opp_Lineout_Won,Opp_Lineout_Lost,%Lineouts_on_own_feed,Penalties_Conceeded,Yellow_Cards,Red_Cards,Referee,Playing_Location,Result,Outcome,Tot_Own_Scrums,Penalties_Won
309,12,1,1,1,100,3,4,75,0.8,0,0,12,148,111,292,0.2,5,16,6,87,90,0.967,0,0,0,14,111,24,0.82,2,3,0,8,0,12,3,1,8,0.8,13,1,0,4,0,16,0,5,12
310,9,0,0,0,0,4,5,80,0.8,0,0,16,102,85,181,0.45,1,19,9,60,69,0.87,5,5,1,13,96,8,0.92,0,2,1,8,1,11,3,0,15,0.786,17,2,0,12,1,12,0,2,11
311,4,1,1,1,100,5,6,83.33333333,0.86,0,0,22,92,86,232,0.55,5,8,5,65,71,0.915,7,8,0,16,97,19,0.84,8,1,2,0,0,15,0,3,11,1,11,1,0,12,0,22,1,9,17
312,11,0,0,0,0,3,4,75,0.75,0,0,19,153,118,505,0.66,2,17,6,99,99,1,1,1,1,18,50,5,0.91,6,0,1,8,1,10,7,4,10,0.588,14,0,0,7,1,9,0,6,12
313,6,2,1,2,50,3,4,75,0.67,0,0,29,68,54,265,0.34,2,5,8,37,39,0.949,5,5,1,16,125,17,0.88,8,1,0,6,1,10,4,7,10,0.714,12,0,0,7,0,21,1,9,14
314,7,1,1,1,100,3,4,75,0.8,0,0,26,86,98,345,0.33,9,15,9,71,74,0.959,0,0,0,16,96,22,0.81,5,1,0,9,0,13,1,0,9,0.929,9,0,0,2,1,16,0,6,12
315,1,2,0,2,0,4,5,80,0.57,0,0,25,142,110,487,0.67,7,22,12,72,75,0.96,0,0,0,14,105,15,0.88,9,0,1,5,0,9,0,1,13,1,12,0,0,2,0,22,1,9,9
316,2,1,1,1,100,3,6,50,0.57,1,0,23,97,67,254,0.42,6,6,3,48,50,0.96,5,6,0,12,121,22,0.85,11,1,0,5,0,9,1,1,15,0.9,13,1,0,2,1,19,1,12,11
317,3,1,1,1,100,2,5,40,0.5,0,0,14,149,111,554,0.58,4,22,6,75,82,0.915,6,9,0,18,73,6,0.92,5,0,1,11,0,15,1,1,9,0.938,11,0,0,2,0,13,0,5,13
318,8,2,1,2,50,2,2,100,0.75,0,0,23,90,101,272,0.67,2,7,6,79,87,0.908,0,0,0,12,110,9,0.92,5,2,0,9,0,9,2,1,13,0.818,14,0,0,13,1,18,1,7,5
319,9,1,1,1,100,2,5,40,0.5,0,0,16,152,112,362,0.33,2,9,6,81,89,0.91,0,0,0,17,101,7,0.94,9,0,2,5,0,13,1,2,9,0.929,5,0,0,13,0,13,0,9,14
320,4,1,1,1,100,4,6,66.66666667,0.71,0,0,32,96,85,344,0.33,2,11,8,60,65,0.923,0,0,0,21,112,30,0.79,5,1,1,6,0,14,2,2,10,0.875,6,1,0,3,1,19,1,6,14
321,5,2,1,2,50,0,1,0,0.33,0,0,27,126,97,381,0.67,7,30,10,63,71,0.887,0,0,0,18,110,11,0.91,6,1,1,5,0,10,2,2,14,0.833,14,1,0,3,0,12,0,7,6
322,12,1,0,1,0,2,3,66.66666667,0.5,0,0,30,153,133,428,0.5,5,17,5,11,1,0.991,0,0,0,8,105,16,0.87,5,2,0,4,0,13,1,2,5,0.929,5,0,0,12,1,11,0,7,16
