Team_Name,Tries_Scored,Conversions,Conversion_Attempts,Conversion_Percentage,Penalty_Goals,Penalty_Attempts,Penalty_Percentage,Kick_at_Goal_Success,Drop_Goals,Drop_Goal_Attempts,Kicks_from_Hand,Passes,Runs,Metres_Run,Possession(%),Clean_Breaks,Defenders_Beaten,Offloads,Rucks_Won,Total_Rucks,%Rucks_Won,Mauls_Won,Total_Mauls,%Mauls_Won,Turnovers_Conceded,Tackles_Made,Tackles_Missed,Tackling_Success_Rate,Own_Scrum_Won,Own_Scrum_Lost,Opp_Scrum_Won,Opp_Scrum_Lost,%Scrums_on_own_feed,Own_Lineout_Won,Own_Lineout_Lost,Opp_Lineout_Won,Opp_Lineout_Lost,%Lineouts_on_own_feed,Penalties_Conceeded,Yellow_Cards,Red_Cards,Referee,Playing_Location,Result,Outcome,Tot_Own_Scrums,Penalties_Won
7,1,1,1,100,3,4,75,0.8,0,0,15,151,138,481,0.33,5,15,14,10,1,0.962,0,0,0,19,96,21,0.82,7,1,0,11,0,8,2,3,8,0.8,8,0,0,0,0,16,0,8,11
8,1,0,1,0,6,8,75,0.67,0,0,25,128,92,242,0.33,2,9,3,71,75,0.947,0,0,0,14,71,12,0.86,6,0,3,4,0,10,2,3,14,0.833,11,0,0,0,1,23,1,6,14
3,2,2,2,100,2,3,66.66666667,0.8,0,0,25,86,76,271,0.67,3,12,4,49,56,0.875,0,0,0,8,116,9,0.93,4,3,0,6,0,14,3,2,10,0.824,14,1,0,0,0,20,0,7,11
0,5,3,5,60,1,2,50,0.57,0,0,33,156,118,410,0.83,18,15,9,77,78,0.987,0,0,0,16,104,12,0.9,10,0,0,7,0,12,2,2,8,0.857,7,0,0,0,1,34,1,10,6
Melbourne 14,1,1,1,100,3,3,100,1,0,0,23,87,89,303,0.17,3,12,7,58,61,0.951,0,0,0,22,130,15,0.9,7,0,0,10,0,8,2,2,12,0.8,6,1,0,0,0,16,0,7,7
11,1,0,1,0,3,3,100,0.75,0,0,26,105,96,347,0.5,3,15,0,83,88,0.943,0,0,0,12,153,18,0.89,4,2,0,5,0,11,7,3,11,0.611,10,1,0,0,1,14,0,6,8
4,1,1,1,100,4,5,80,0.83,0,0,25,190,138,316,0.5,5,18,7,10,1,0.991,0,0,0,15,117,15,0.89,5,0,2,4,0,11,3,7,11,0.786,8,0,0,0,0,19,1,5,10
12,1,0,1,0,6,7,85.71428571,0.75,0,0,20,131,84,426,0.5,8,25,7,50,60,0.833,0,0,0,15,135,16,0.89,5,1,0,7,0,9,1,2,15,0.9,11,0,0,0,1,23,1,6,12
13,1,1,1,100,4,5,80,0.83,0,0,17,144,116,366,0.5,2,16,10,88,97,0.907,0,0,0,16,80,25,0.76,7,0,1,5,0,15,2,1,9,0.882,12,1,0,0,0,19,0,7,11
7,4,3,4,75,1,3,33.33333333,0.57,0,0,20,153,137,602,0.67,14,28,19,87,90,0.967,0,0,0,16,147,17,0.9,5,2,0,8,0,12,4,0,8,0.75,9,1,0,0,1,29,1,7,9
6,2,1,2,50,2,3,66.66666667,0.6,0,0,16,170,146,548,0.33,7,17,17,85,93,0.914,0,0,0,23,145,28,0.84,8,0,2,5,0,8,0,4,12,1,9,1,0,0,0,18,0,8,9
8,2,0,2,0,6,8,75,0.6,0,0,19,146,114,337,0.33,5,12,5,92,96,0.958,0,0,0,10,63,13,0.83,4,1,0,6,0,15,3,3,13,0.833,10,0,0,0,1,28,3,5,15
16,4,4,4,100,0,1,0,0.8,0,0,21,59,66,230,0.67,6,13,4,42,47,0.894,0,0,0,9,157,12,0.93,6,0,1,4,0,13,3,3,15,0.812,15,1,0,0,0,28,3,6,10
2,0,0,0,0,7,7,100,1,0,0,24,129,109,325,0,3,15,7,76,79,0.962,0,0,0,10,121,20,0.86,5,0,1,6,0,14,3,0,7,0.824,9,0,0,0,1,21,1,5,12
4,1,0,1,0,4,7,57.14285714,0.5,0,0,26,179,112,403,1,7,20,13,74,75,0.987,0,0,0,8,124,15,0.89,6,1,0,5,0,7,0,3,14,1,12,0,0,0,0,17,0,7,9
10,4,3,4,75,5,6,83.33333333,0.8,0,0,27,115,95,573,0.57,11,25,10,62,64,0.969,0,0,0,11,155,36,0.81,5,0,0,7,0,9,1,0,12,0.9,8,0,0,0,1,41,1,5,8
12,3,1,3,33.33333333,4,4,100,0.71,0,0,15,228,149,710,0.43,14,36,13,98,10,0.925,0,0,0,22,85,25,0.77,7,0,0,5,0,12,0,1,9,1,8,0,0,0,0,29,0,7,8
13,3,1,3,33.33333333,2,4,50,0.43,0,0,18,155,123,346,0.43,4,17,10,94,96,0.979,0,0,0,19,93,11,0.89,5,0,2,8,0,10,2,1,9,0.833,4,0,0,0,1,23,0,5,12
Melbourne 14,4,2,4,50,2,3,66.66666667,0.57,0,0,24,107,85,322,0.57,6,11,6,62,65,0.954,0,0,0,9,148,17,0.9,8,2,0,5,0,9,1,2,10,0.9,12,0,0,0,0,30,1,10,4
0,2,2,2,100,3,4,75,0.83,1,1,32,164,114,435,0.5,7,24,3,82,85,0.965,0,0,0,8,126,16,0.89,9,0,1,4,0,9,5,0,10,0.643,10,0,0,0,1,26,1,9,7
11,2,1,2,50,4,4,100,0.83,0,0,32,143,107,407,0.5,2,16,6,76,78,0.974,0,0,0,20,121,24,0.83,4,1,0,9,0,10,0,5,9,1,7,0,0,0,0,24,0,5,10
6,1,1,1,100,4,4,100,1,0,0,22,168,166,479,0.25,5,38,15,12,1,0.953,0,0,0,22,102,19,0.84,3,1,1,6,0,8,2,1,9,0.8,7,0,0,0,1,19,0,4,13
